house number	Street Name	zip	boro	registration id	last registration date	registration end date	bbl	bin	hpd building id	hpd buildings	corporation names	business addrs	owner names	all contacts	total violations	open violations	total complaints	recent complaints	recent complaints by type	units/res	year built	council	lat	lng	evictions	rsunits2007	rsunitslatest	rsunitslatestyear	rsdiff	yearstartedj51	yearstarted421a	lastsaleacrisid	lastsaledate	lastsaleamount	evictionfilings
635	Riverside Dr.	10031	Manhattan	103260	2024-09-17	2025-09-01	1020880051	1062325	27321	1	US REALTY CORP; RIVERSIDE DRIVE 635 REALTY LLC	1360 1360TH EAST 14TH STREET SUITE 11230; 1360 EAST 14TH STREET 101 11230	angel fabian (Agent), angel fabian (HeadOfficer), MENSUR KOLENOVIC (Officer)	angel fabian (Agent), 1360 1360TH EAST 14TH STREET SUITE BROOKLYN, NY 11230; angel fabian (HeadOfficer), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; MENSUR KOLENOVIC (Officer), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; RIVERSIDE DRIVE 635 REALTY LLC (Corporation), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; US REALTY CORP (Corporation), 1360 1360TH EAST 14TH STREET SUITE BROOKLYN, NY 11230	1322	216	1824	430	HEAT/HOT WATER (117), DOOR/WINDOW (63), PLUMBING (54), PAINT/PLASTER (31), WATER LEAK (27), FLOORING/STAIRS (26), PESTS (24), MOLD (22), GARBAGE/RECYCLING STORAGE (15), ELECTRIC (14), APPLIANCE (9), SAFETY (7), BELL/BUZZER/INTERCOM (7), CABINET (6), ELEVATOR (5), VENTILATION SYSTEM (2), COOKING GAS (1)	67	1912	7	40.8244503	-73.9542208	2	57	42	2023	-15			2013091800975007	2013-09-11	20300188	77
617	West 141st St. 	10031	Manhattan	108092	2024-08-16	2025-09-01	1020880080	1062327	41580	1	US REALYT CORP.; 617 WEST 141 STREET PARTNERS LLC	1360 EAST 14TH STREET 101 11230	JONATHAN SAMET (Agent), JONATHAN SAMET (HeadOfficer)	JONATHAN SAMET (Agent), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; JONATHAN SAMET (HeadOfficer), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; 617 WEST 141 STREET PARTNERS LLC (Corporation), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; US REALYT CORP. (Corporation), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230	563	16	907	102	PAINT/PLASTER (17), DOOR/WINDOW (12), WATER LEAK (10), PLUMBING (10), FLOORING/STAIRS (10), HEAT/HOT WATER (9), MOLD (9), ELECTRIC (6), APPLIANCE (5), CABINET (4), GARBAGE/RECYCLING STORAGE (3), PESTS (3), SAFETY (2), SEWAGE (1), BELL/BUZZER/INTERCOM (1)	42	1914	7	40.8245762	-73.9533572	1	43	42	2023	-1			2004021301674001	2004-02-05	3475000	26
544	West 158th St.	10032	Manhattan	113469	2024-07-16	2025-09-01	1021160011	1062730	42784	1	550.EQUITIES LLC; US REALTY CORP	550 WEST 158TH STREET 10032; 1360 EAST 14TH STREET 101 11230	JONATHAN SAMET (Agent), HENRY LEON (Officer), JONATHAN SAMET (HeadOfficer)	JONATHAN SAMET (Agent), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; JONATHAN SAMET (HeadOfficer), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; HENRY LEON (Officer), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; 550.EQUITIES LLC (Corporation), 550 WEST 158TH STREET NEW YORK, NY 10032; US REALTY CORP (Corporation), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230	277	115	424	147	HEAT/HOT WATER (98), PAINT/PLASTER (14), PLUMBING (9), WATER LEAK (5), MOLD (5), FLOORING/STAIRS (5), DOOR/WINDOW (5), ELECTRIC (3), PESTS (1), BELL/BUZZER/INTERCOM (1), ELEVATOR (1)	42	1925	10	40.834162	-73.9437704	1	34	30	2023	-4			2012053100726001	2012-05-24	4650000	42
543	West 162nd St.	10032	Manhattan	104937	2024-07-02	2025-09-01	1021220021	1062921	42972	1	GOLDMONT REALTY; 545 W 162ND PROPERTY LLC	1360 EAST 14TH STREET 11230; 1360 EAST 14TH STREET 101 11230; 545 WEST 162ND STREET 101 10032	MARVIN BASCH (HeadOfficer), MARVIN BASCH (Agent)	MARVIN BASCH (Agent), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; MARVIN BASCH (HeadOfficer), 1360 EAST 14TH STREET BROOKLYN, NY 11230; 545 W 162ND PROPERTY LLC (Corporation), 545 WEST 162ND STREET 101 NEW YORK, NY 10032; GOLDMONT REALTY (Corporation), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230	849	130	696	89	PESTS (21), SAFETY (20), HEAT/HOT WATER (15), PAINT/PLASTER (12), MOLD (10), PLUMBING (3), FLOORING/STAIRS (2), ELECTRIC (2), DOOR/WINDOW (1), APPLIANCE (1), OUTSIDE BUILDING (1), WATER LEAK (1)	44	1910	10	40.8370649	-73.9417442		39	37	2023	-2			2011121000178002	2011-12-01	4637539	27
145	Audubon Ave.	10032	Manhattan	119573	2024-07-02	2025-09-01	1021290030	1063099	6182	1	AUDUBON PROPERTIES LLC; US REALTY CORP	1360 EAST 14TH STREET 11230; 145 AUDUBON AVENUE 10032	MARVIN BASCH (HeadOfficer), HAMIT HAZIRAJ (Officer), HAMIT HAZIRAJ (SiteManager), MARVIN BASCH (Agent)	MARVIN BASCH (Agent), 1360 EAST 14TH STREET BROOKLYN, NY 11230; MARVIN BASCH (HeadOfficer), 1360 EAST 14TH STREET BROOKLYN, NY 11230; HAMIT HAZIRAJ (Officer), 1360 EAST 14TH STREET BROOKLYN, NY 11230; HAMIT HAZIRAJ (SiteManager); AUDUBON PROPERTIES LLC (Corporation), 145 AUDUBON AVENUE NEW YORK, NY 10032; US REALTY CORP (Corporation), 1360 EAST 14TH STREET BROOKLYN, NY 11230	754	111	848	91	HEAT/HOT WATER (26), PAINT/PLASTER (10), PESTS (10), PLUMBING (8), FLOORING/STAIRS (7), ELECTRIC (6), APPLIANCE (5), DOOR/WINDOW (4), CABINET (3), GARBAGE/RECYCLING STORAGE (3), WATER LEAK (3), MOLD (2), ELEVATOR (2), SAFETY (2)	48	1909	10	40.8429823	-73.9361912		48	49	2023	1			2005081501045001	2005-08-09	4225000	48
605	West 156th St.	10032	Manhattan	113465	2024-08-16	2025-09-01	1021340100	1063257	42732	1	US REALTY CORP; WEST 156 STREET 605 REALTY LLC	1360 EAST 14TH STREET 101 11230; 1360 EAST 14TH 101 11230	SANEL CEKIC (SiteManager), JONATHAN SAMET (Agent), SANEL CEKIC (Officer), JONATHAN SAMET (HeadOfficer)	JONATHAN SAMET (Agent), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; JONATHAN SAMET (HeadOfficer), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; SANEL CEKIC (Officer), 1360 EAST 14TH 101 BROOKLYN, NY 11230; SANEL CEKIC (SiteManager); US REALTY CORP (Corporation), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; WEST 156 STREET 605 REALTY LLC (Corporation), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230	627	89	1311	451	HEAT/HOT WATER (153), PLUMBING (63), PESTS (43), WATER LEAK (38), PAINT/PLASTER (28), DOOR/WINDOW (25), FLOORING/STAIRS (23), SAFETY (22), MOLD (15), ELECTRIC (14), CABINET (5), APPLIANCE (5), ELEVATOR (4), GARBAGE/RECYCLING STORAGE (4), BELL/BUZZER/INTERCOM (3), OUTSIDE BUILDING (3), SIGNAGE MISSING (1), VENTILATION SYSTEM (1), JANITOR/SUPER (1)	44	1910	7	40.8340204	-73.9461448	1	38	36	2023	-2			2013091800975005	2013-09-11	8881332	34
625	West 156th St.	10032	Manhattan	104634	2024-08-16	2025-09-01	1021340110	1063259	42736	1	WEST 156TH STREET 625 REALTY LLC; US REALTY CORP.	1360 EAST 14TH STREET 101 11230; 1360 EAST 14TH STR 101 11230	FRANCISCO DELACRUZ (Agent), HUASCAR QUEZADA (Officer), FRANCISCO DELACRUZ (HeadOfficer)	FRANCISCO DELACRUZ (Agent), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; FRANCISCO DELACRUZ (HeadOfficer), 1360 EAST 14TH STR 101 BROOKLYN, NY 11230; HUASCAR QUEZADA (Officer), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; US REALTY CORP. (Corporation), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; WEST 156TH STREET 625 REALTY LLC (Corporation), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230	214	74	894	402	HEAT/HOT WATER (340), PLUMBING (13), WATER LEAK (8), PAINT/PLASTER (7), LINE OF TRAVEL (7), MOLD (6), FLOORING/STAIRS (6), PESTS (6), ELECTRIC (5), CABINET (2), DOOR/WINDOW (1), SIGNAGE MISSING (1)	32	1909	7	40.8342649	-73.94673	2	23	23	2023	0			2005090100256001	2005-08-29	5652621	22
894	Riverside Dr.	10032	Manhattan	123344	2024-08-16	2025-09-01	1021360111	1063327	27394	1	RIVERSIDE DRIVE REALTY LLC; US REALTY CORP	1360 EAST 14TH STREET 101 11230	FRANCISCO DELACRUZ (HeadOfficer), JOSE ANDYJAR (Officer), FRANCISCO DELACRUZ (Agent)	FRANCISCO DELACRUZ (Agent), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; FRANCISCO DELACRUZ (HeadOfficer), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; JOSE ANDYJAR (Officer), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; RIVERSIDE DRIVE REALTY LLC (Corporation), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; US REALTY CORP (Corporation), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230	1368	138	2129	588	HEAT/HOT WATER (134), PESTS (83), PLUMBING (78), PAINT/PLASTER (68), DOOR/WINDOW (53), MOLD (30), SAFETY (27), FLOORING/STAIRS (26), GARBAGE/RECYCLING STORAGE (22), WATER LEAK (17), ELECTRIC (13), ELEVATOR (10), BELL/BUZZER/INTERCOM (10), CABINET (5), APPLIANCE (4), OUTSIDE BUILDING (3), JANITOR/SUPER (2), SIGNAGE MISSING (2), SEWAGE (1)	54	1915	7	40.8377369	-73.9464562	2	52	52	2023	0			2013091800975008	2013-09-11	11418856	31
40	Sherman Ave.	10040	Manhattan	100317	2024-08-14	2025-09-01	1021750092	1064237	27612	1	US REALTY CORP; SHERMAN AVENUE REALTY LLC	1360 EAST 14TH STREET 11230; 1360 EAST 14TH STREET 101 11230; 40 SHERMAN AVENUE 10040	MARVIN BASCH (HeadOfficer), MARVIN BASCH (Agent), HECTOR FERNANDEZ (Officer)	MARVIN BASCH (Agent), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; MARVIN BASCH (HeadOfficer), 1360 EAST 14TH STREET BROOKLYN, NY 11230; HECTOR FERNANDEZ (Officer), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; SHERMAN AVENUE REALTY LLC (Corporation), 40 SHERMAN AVENUE NEW YORK, NY 10040; US REALTY CORP (Corporation), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230	413	86	1982	83	HEAT/HOT WATER (30), DOOR/WINDOW (11), PLUMBING (9), PAINT/PLASTER (8), MOLD (7), FLOORING/STAIRS (5), SAFETY (3), PESTS (3), APPLIANCE (3), CABINET (2), WATER LEAK (2)	45	1914	10	40.8631045	-73.9281677	2	46	44	2023	-2			2015073100759001	2015-07-28	7425000	41
2485	Devoe Terrace	10468	Bronx	205881	2024-07-16	2025-09-01	2032190105	2092429	61669	2	DEVOEWEB LLC; US REALTY CORP	1360 EAST 14TH STREET 101 11230; 1360 EAST 14TH STREET 11230	JONATHAN SAMET (HeadOfficer), JONATHAN SAMET (Agent)	JONATHAN SAMET (Agent), 1360 EAST 14TH STREET BROOKLYN, NY 11230; JONATHAN SAMET (HeadOfficer), 1360 EAST 14TH STREET BROOKLYN, NY 11230; DEVOEWEB LLC (Corporation), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; US REALTY CORP (Corporation), 1360 EAST 14TH STREET BROOKLYN, NY 11230	1072	188	1992	330	HEAT/HOT WATER (93), PAINT/PLASTER (51), PLUMBING (46), FLOORING/STAIRS (30), WATER LEAK (30), DOOR/WINDOW (21), MOLD (18), PESTS (17), APPLIANCE (8), CABINET (7), ELECTRIC (5), BELL/BUZZER/INTERCOM (1), SAFETY (1), OUTSIDE BUILDING (1), SEWAGE (1)	72	1927	14	40.8651517	-73.9049292	1	66	65	2023	-1			2022100300027001	2022-09-23	7900000	54
90	Remsen St.	11201	Brooklyn	312695	2024-07-02	2025-09-01	3002530068	3002203	361315	1	US REALTY CORP; 90 REMSEN COOP CORPORATION	1360 EAST 14TH STREET 101 11230; 1360 E14TH STREET 101 11230	SAM BROWN (HeadOfficer), JESUS ROMAN (Officer), SAM BROWN (Agent), JESUS ROMAN (SiteManager)	SAM BROWN (Agent), 1360 E14TH STREET 101 BROOKLYN, NY 11230; SAM BROWN (HeadOfficer), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; JESUS ROMAN (Officer), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; JESUS ROMAN (SiteManager); 90 REMSEN COOP CORPORATION (Corporation), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; US REALTY CORP (Corporation), 1360 E14TH STREET 101 BROOKLYN, NY 11230	0	0	1	0		7	1899	33	40.6940346	-73.9951858		2	2	2023	0						
193	Columbia St.	11231	Brooklyn	371830	2024-12-20	2025-09-01	3003300007	3004079	224212	1	Brooklyn Q & H LLC; Goldmont Realty Corp	1360 EAST 14TH STREET 11230; 1360 EAST 14TH STREET 101 11230; 1360 EAST 14TH STREET ROOM1 11230	jonathan samet (Agent), jonathan samet (HeadOfficer)	jonathan samet (Agent), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; jonathan samet (HeadOfficer), 1360 EAST 14TH STREET ROOM1 BROOKLYN, NY 11230; Brooklyn Q & H LLC (Corporation), 1360 EAST 14TH STREET BROOKLYN, NY 11230; Goldmont Realty Corp (Corporation), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230	55	4	57	5	HEAT/HOT WATER (5)	3	1900	39	40.6854051	-74.0022247		0	0	2023	0			2006030701459001	2006-03-01	1200000	
191	Columbia St.	11231	Brooklyn	376535	2024-12-20	2025-09-01	3003300008	3004080	224210	1	Goldmont Realty Corp; Brooklyn Q & H LLC	1360 1360TH EAST 14TH STREET 101 11230; 1360 EAST 14TH STREET ROOM1 11230; 1360 EAST 14TH STREET 11230	jonathan samet (Agent), jonathan samet (HeadOfficer)	jonathan samet (Agent), 1360 1360TH EAST 14TH STREET 101 BROOKLYN, NY 11230; jonathan samet (HeadOfficer), 1360 EAST 14TH STREET ROOM1 BROOKLYN, NY 11230; Brooklyn Q & H LLC (Corporation), 1360 EAST 14TH STREET BROOKLYN, NY 11230; Goldmont Realty Corp (Corporation), 1360 1360TH EAST 14TH STREET 101 BROOKLYN, NY 11230	43	7	78	4	HEAT/HOT WATER (2), SEWAGE (1), PESTS (1)	2	1931	39	40.68546	-74.0021995		0	0	2023	0			2006030701459001	2006-03-01	1200000	
154	Richard St.	11231	Brooklyn	361613	2024-07-15	2025-09-01	3005560032	3008556	361360	1	SULLIVAN 46 REALTY LP; US REALTY CORP	1360 EAST 14TH STREET 101 11230	JONATHAN SAMET (Officer), HECTOR COLON (HeadOfficer), JONATHAN SAMET (Agent)	JONATHAN SAMET (Agent), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; HECTOR COLON (HeadOfficer), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; JONATHAN SAMET (Officer), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; SULLIVAN 46 REALTY LP (Corporation), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230; US REALTY CORP (Corporation), 1360 EAST 14TH STREET 101 BROOKLYN, NY 11230	66	41	122	30	HEAT/HOT WATER (10), DOOR/WINDOW (10), PLUMBING (5), PAINT/PLASTER (2), MOLD (2), ELECTRIC (1)	20	1931	38	40.6771401	-74.0108661	1	20	20	2023	0			2011011400427001	2011-01-05	1725000	22
